price,sqft_living,sqft_basement
88e4,2800,910
279e3,2240,0
295e3,1810,0
64e4,1070,0
94e4,2490,0
26e4,1960,0
559900.0,2930,1070
791500.0,1510,0
265e3,1420,0
245e3,1740,0
485e3,2560,0
684e3,3040,620
425e3,2500,1200
309600.0,1275,0
552250.0,2580,0
165e3,1000,0
239900.0,1000,0
32e4,1070,0
206600.0,1390,0
387e3,2500,1250
299e3,560,0
855e3,2270,0
315e3,1900,600
437500.0,990,200
252e3,1550,500
375e3,2200,1100
3e5,1910,0
42e4,1750,0
9e5,1330,0
679900.0,2440,460
463e3,1640,0
38e4,2760,0
329500.0,1820,0
604950.0,2110,770
795e3,3040,1400
465e3,1840,0
673e3,2990,0
81e4,3520,0
785e3,2440,530
338e3,2090,720
28e4,1430,0
315e3,2180,1080
53e4,2180,1080
38e4,3450,0
297e3,1450,0
73e4,3230,0
45e4,1640,530
275e3,1590,530
595e3,2020,0
435e3,1300,0
27e4,1380,0
95e4,4040,1010
389e3,2130,0
56e4,2550,970
135e4,4800,1320
799e3,2510,0
365500.0,1410,0
252350.0,1650,490
403950.0,2120,0
385e3,2040,660
345e3,1550,0
49e4,1980,0
33e4,1600,0
927e3,3300,0
1118e3,3840,0
33e4,1220,0
53e4,2720,1220
365e3,1940,0
378750.0,2160,900
269900.0,1530,0
557e3,1710,420
36e4,3730,1580
352e3,940,0
437e3,1750,0
322500.0,1820,0
65e4,1510,180
45e4,1290,0
278500.0,1570,0
364950.0,1930,0
84e4,2840,0
268e3,1550,0
517534.0,833,0
632925.0,2990,0
577500.0,2000,0
339e3,2390,0
57e4,2910,1380
563500.0,2085,475
423e3,2200,910
355e3,1860,0
155e4,6070,0
482e3,950,0
625e3,1600,0
538e3,2250,0
38e4,2280,0
375e3,940,0
245e3,1530,500
31e4,2190,0
13e5,2350,580
397e3,1440,240
365e3,2200,0
328500.0,2290,0
988e3,4040,0
1e6,2610,690
237e3,1490,0
525e3,2450,0
749e3,1710,270
722500.0,4870,1400
843e3,3130,0
438e3,1270,0
578e3,2120,580
227950.0,1670,0
196e3,2070,0
641e3,1420,350
35e4,1250,0
205e3,940,0
4e5,1920,0
103e4,3545,935
505e3,1260,0
475e3,2340,1040
52e4,2590,1150
145e4,3970,710
333500.0,1220,0
232e3,1400,0
691100.0,2360,650
811e3,1870,0
551e3,2830,0
496500.0,2260,0
705e3,1970,200
578e3,3140,1370
255e3,1240,0
105e4,3450,0
348e3,2570,0
23e4,1510,0
359500.0,2390,0
33e4,980,0
8e4,430,0
465e3,1480,0
325e3,1850,0
340500.0,2270,350
342500.0,1810,0
290900.0,1610,0
868700.0,3840,0
1199e3,4110,980
115e4,4190,1040
859900.0,3390,0
52e4,1890,0
46e4,1610,530
438924.0,1050,200
315e3,630,0
59e4,2910,1130
378500.0,1700,850
328500.0,1950,0
849950.0,2990,0
525e3,1350,450
1385e3,4860,0
295e3,2160,700
1067e3,4860,1000
207950.0,890,0
699900.0,2810,0
128e4,3400,0
452e3,1580,620
37e4,1680,0
232e3,1300,0
669950.0,2820,440
397500.0,1510,440
49e4,1230,360
725e3,2110,400
299e3,3080,1470
625e3,1490,300
437500.0,2120,0
65e4,3180,0
475e3,1490,630
342e3,1930,0
1197350.0,2770,0
28e4,1670,0
24e4,1330,0
529e3,1210,0
442e3,1190,160
615e3,1540,720
1485e3,4030,0
585e3,2430,850
48e4,2600,0
1095e3,4410,0
29e4,1330,0
615e3,1900,950
3e5,1100,0
308e3,1980,400
75e4,2400,0
225e4,4760,1370
89e4,3180,0
288e3,1190,0
19e4,630,0
515e3,2530,1010
235e3,1690,0
275e3,940,0
727500.0,1240,0
65e4,3040,0
16e5,6050,0
365e3,1590,0
662e3,2500,0
270500.0,1780,460
2e5,1360,0
97e4,4740,0
16e4,1010,0
204e3,1040,0
358e3,1610,0
452e3,1570,0
595e3,1510,500
249e3,1360,0
346900.0,1970,0
2125e3,5403,0
28e4,1560,0
318888.0,2320,50
53e4,2120,0
375e3,2120,0
91e4,3350,0
782e3,2380,0
259950.0,1070,350
315e3,2300,740
215e3,1320,0
705e3,2180,1040
145e4,4380,800
451e3,1790,0
261e3,750,0
396e3,1300,0
725e3,2990,0
195e4,4640,1780
238e3,1400,0
75e4,2750,0
331500.0,2050,0
46e4,2230,820
404950.0,2340,0
88e4,2870,0
863e3,4120,0
638700.0,2080,710
435e3,1840,0
26e4,1180,0
671500.0,2160,630
61e4,1180,0
405e3,1160,290
338900.0,1830,0
72e4,3200,0
442e3,2560,800
65e4,2550,0
263500.0,1330,290
3e5,1220,0
266e3,1805,0
93e4,6050,1900
53e4,2320,0
18e4,1384,0
619e3,2720,0
264e3,1820,0
73e4,2130,600
439e3,2060,0
268500.0,1420,340
33e4,1510,0
64e4,2160,200
9e5,3180,0
37e4,2110,0
685e3,2060,730
505e3,1830,820
265e3,1820,0
29e4,1610,0
296e3,1780,0
36e4,1840,0
240500.0,1460,470
372500.0,1400,0
595e3,3370,0
515e3,3590,0
122e4,3200,0
507e3,1670,0
399950.0,2420,0
185e3,1430,0
46e4,1440,0
435500.0,1450,0
469e3,3550,1450
531e3,1270,160
443500.0,940,0
223e3,1670,370
59e4,3100,700
34e4,1100,0
65e4,1870,640
533600.0,1930,0
695e3,2540,0
242e3,1280,0
425e3,1820,540
525e3,1490,0
485e3,1880,0
175e3,1250,0
21e4,1440,0
26e4,1920,0
577e3,2060,730
2e5,1210,0
605e3,1760,820
325e3,990,0
289500.0,960,140
559950.0,1660,0
1042500.0,1900,570
543500.0,1270,280
48e4,3250,0
218e3,960,0
565e3,1330,370
426700.0,2080,480
65e4,2690,560
542e3,890,120
415e3,1070,0
214e3,1200,0
245e3,1360,0
314500.0,2050,0
112e4,3000,1000
378e3,1300,500
305e3,2250,910
595e3,3740,1760
729500.0,1660,130
43e4,2360,0
24e4,1760,610
545e3,1680,0
53e4,1320,450
157e3,870,0
425e3,1260,0
22e4,1000,0
521e3,2020,470
325e3,1920,800
597500.0,2150,770
337e3,1470,0
1e6,3180,0
307e4,3930,1600
495e3,990,0
748e3,2770,800
888e3,1250,0
269900.0,1140,0
496500.0,2250,700
475e3,1640,0
312e3,1255,0
323e3,1290,0
331e3,1300,0
306e3,1220,0
655e3,2630,0
29e4,1950,0
125e4,3160,800
46e4,1550,690
435e3,1700,850
664e3,2510,880
865e3,1800,0
385e3,1800,600
497e3,1870,520
28e4,1010,0
188e3,1120,0
478500.0,2090,890
1145e3,4370,0
222e3,1440,470
799e3,2580,0
609900.0,3190,0
413e3,2380,630
4e5,1420,0
802541.0,2990,0
32e4,2680,0
507e3,2730,0
387500.0,1220,0
396e3,1500,0
373e3,1830,400
1484900.0,4570,0
359900.0,2470,0
41e4,800,130
69e4,2900,0
245e3,1410,0
7e5,2830,1220
268e3,1680,580
225e3,1760,840
98e4,2240,0
795e3,1380,0
195e3,820,0
48e4,2180,450
485e3,1400,300
13e4,880,0
325e3,1060,0
44e4,1530,0
55e4,2480,1020
31e4,1490,0
53e4,3660,400
39e4,2340,0
243e3,1450,0
639e3,2210,0
215e3,1130,0
405e3,1550,450
25e4,1710,700
405500.0,1010,0
452e3,2660,0
73e4,2660,0
267e3,1300,0
289950.0,1670,0
565e3,960,0
1578e3,4670,0
636e3,2140,370
35e4,2520,970
32e4,1650,520
21e4,1440,0
245e3,1050,0
328e3,1470,340
985e3,4230,0
501e3,1970,600
315e3,1540,0
403e3,2090,0
55e4,2380,270
347500.0,2156,0
365e3,2070,0
588e3,1910,640
605e3,1920,660
13e5,3400,1110
233e3,1400,0
36e4,2210,0
459e3,1170,150
74e4,2100,0
305e3,1160,0
395e3,1500,600
56e4,2940,0
65e4,2010,710
449950.0,2170,0
517500.0,1430,180
435e3,1510,440
329999.0,1150,350
95e4,2150,1010
447e3,1370,140
699800.0,2380,0
85e4,1370,600
316500.0,1600,530
942500.0,3750,1720
131e4,3950,1040
856600.0,2400,0
405600.0,2830,0
565e3,2440,0
4e5,1190,140
33e4,1400,0
374950.0,2730,0
405300.0,2390,780
56e4,2060,0
824e3,2490,1200
26e4,1100,0
76e4,2430,960
405e3,3170,810
429900.0,2640,0
341500.0,1130,0
465250.0,1940,0
45e4,1100,0
39e4,1200,0
42e4,2000,1000
269950.0,1890,160
493e3,1910,850
37e4,2710,0
225e4,4860,1760
305e3,1250,0
4e5,1590,620
32e4,1240,190
715e3,2000,0
65e4,3610,0
218e3,1930,0
5e5,1280,0
46e4,2090,0
232500.0,1940,800
408200.0,1800,0
522e3,1730,330
675e3,2810,0
1355e3,3550,1290
249950.0,1330,0
21e4,750,0
429950.0,1760,670
737500.0,3200,0
71e4,1740,0
47e4,2100,0
11e5,4270,0
65e4,1340,0
1216e3,3190,1510
422120.0,1630,0
625e3,2990,0
385200.0,1550,0
5e5,1690,0
308e3,1960,0
565e3,2390,1030
581e3,2600,0
361e3,1950,0
345e3,1250,0
419e3,1180,340
347e3,1680,0
625e3,2220,0
24e5,4890,1800
379e3,2660,0
31e4,1150,0
25e4,1130,0
682e3,2760,0
246500.0,1430,0
325e3,1490,0
310950.0,2030,0
11e5,3010,1120
287500.0,1810,680
431e3,1810,680
226e3,970,0
825e3,2010,500
175e3,1300,0
465750.0,1260,0
659e3,2610,0
595e3,1910,800
35e4,1780,0
27e4,1900,0
662500.0,2450,1110
249900.0,1380,0
324500.0,1920,690
43e4,1350,0
419950.0,1350,0
285e3,2510,1220
332e3,2470,0
282e3,1660,700
32e4,1340,400
428750.0,1620,0
33e4,2300,0
456500.0,2000,0
352e3,1640,0
664e3,1530,0
628e3,4000,1810
512e3,1610,530
254e3,2070,620
535800.0,1900,0
287653.0,1050,0
438e3,1520,340
45e4,2390,640
327e3,2400,0
370500.0,1790,0
265e3,1720,0
45e4,2980,1180
425e3,1520,0
166600.0,1150,0
245e3,380,0
565e3,910,0
539900.0,1650,420
91e4,2480,0
28e4,2050,0
275e3,1420,0
467e3,3460,0
457500.0,1500,0
381156.0,1320,0
289999.0,2180,960
642450.0,1830,600
469950.0,1620,400
795e3,2920,1460
785e3,3300,0
86e4,3060,0
1095e3,3064,0
147500.0,1530,0
39e4,1910,500
229e3,1020,0
185e3,1150,0
414900.0,1260,390
2e5,1920,1000
225e3,1800,0
72e4,2040,680
93e4,2200,770
127e4,3200,1040
7e5,2400,620
466e3,1140,0
374e3,1330,0
48e4,1940,0
74e4,3000,0
101e4,1820,0
395e3,2910,0
34e4,1090,0
209e3,1230,210
431650.0,1710,0
98e4,3160,1380
66e4,2680,0
73e4,2190,350
291500.0,1260,0
905e3,2970,630
8e5,2570,0
839900.0,3810,1250
2e5,1010,60
3e5,1480,400
53e4,1250,0
314950.0,1654,0
255e3,1410,0
55e4,2160,660
435e3,1400,700
234e3,1420,0
615e3,2500,900
205e3,1410,0
384e3,2100,1050
324e3,1750,0
645e3,2070,940
57e4,1570,310
324e3,1920,0
27e4,1000,0
29e4,2120,0
25e4,1440,0
342e3,1660,0
255e3,1340,0
8e5,2380,930
451e3,1560,560
99e4,2780,1390
288400.0,1860,640
42e4,2390,640
359e3,1370,290
39e4,2570,1150
3e5,1320,0
545e3,2520,1020
288349.0,1250,0
299900.0,1560,270
891e3,2330,610
12e5,3660,1830
378e3,2790,0
299995.0,1060,0
253e3,2020,710
35e4,1580,0
565e3,2020,0
315e3,970,0
57e4,1490,0
971e3,4390,1040
915e3,2750,910
419e3,2150,0
26e4,1810,580
1321500.0,2230,0
369950.0,2430,0
1029900.0,3680,0
435e3,1410,0
601e3,1330,0
460500.0,1490,340
72e4,2020,0
851e3,3130,0
55e4,2670,0
7e5,1980,0
323e3,2100,0
345500.0,1350,0
378e3,2140,950
65e4,2208,0
385e3,1010,0
425e3,970,0
21e4,1520,0
63e4,2740,0
335e3,1570,270
196500.0,1320,0
582800.0,2550,1110
44e4,1560,310
752500.0,2360,0
532500.0,1330,120
265e3,1070,0
397500.0,1510,700
524250.0,1710,0
765e3,2790,0
648e3,2620,0
469500.0,2970,1300
237500.0,1050,0
216e3,1280,0
427200.0,1030,0
28e4,1900,510
718e3,3070,1330
42e4,1760,0
379e3,930,0
326100.0,880,0
535e3,1360,50
283e3,2130,570
26e4,1480,360
399e3,1500,0
484950.0,1670,0
64e4,2060,0
585e3,2160,500
645e3,2780,1590
253e3,1490,0
178500.0,740,0
291e3,1860,0
199950.0,1590,0
553500.0,850,0
189950.0,1030,0
289e3,1850,0
7e5,1830,0
27e4,1560,0
258e3,1730,500
53e4,1930,0
245e3,1422,0
563e3,1380,0
515e3,2430,0
325e3,2610,0
54e4,2000,0
280300.0,920,430
46e4,1750,700
475e3,2020,840
9e5,2460,0
538200.0,1780,0
429e3,1080,0
164808.0,1250,0
52e4,1870,0
475e3,1700,470
283e3,1480,0
321500.0,1930,0
84e4,3130,0
287e3,1370,0
375e3,960,0
349500.0,1260,0
446450.0,1480,0
315e3,1930,0
271310.0,870,0
315e3,1300,0
245e3,1490,0
543115.0,1380,350
9e5,1190,0
245e4,4250,1380
554e3,1920,0
249900.0,2080,0
768e3,3220,530
98e4,3680,1620
395e3,2070,800
415e3,1480,0
38e4,2000,0
566e3,1560,0
218500.0,1600,210
55e4,1940,800
512031.0,1540,770
197500.0,820,0
47e4,1780,550
59e4,1560,0
465e3,2210,940
499e3,2040,0
515e3,1920,0
716500.0,1930,700
41e4,1700,810
85e4,3450,1000
105e4,3440,0
648e3,2380,0
62e4,2400,940
935e3,5670,0
379e3,1140,0
699e3,1670,400
528e3,1910,630
425e3,1560,0
249500.0,1500,0
1035480.0,4475,0
79e4,2840,1200
399950.0,1020,0
275e3,1410,0
55e4,1520,0
14e4,730,0
25e4,1190,200
318e3,1410,0
505e3,1240,0
470500.0,2500,1200
36e4,1050,0
1242500.0,2680,1200
986e3,2380,1040
515e3,1060,200
32e4,2300,990
31e4,2010,920
356700.0,1090,360
775e3,2320,810
325e3,1040,0
208e3,1810,0
825e3,1150,0
515e3,2360,0
49e4,1970,550
675e3,2690,0
36e4,2080,1040
55e4,2080,1040
225e3,1370,0
5e5,3410,0
385e3,1850,0
837700.0,3010,0
448e3,1530,0
73e4,2690,1270
575e3,2810,1320
43e4,1810,570
435e3,1560,0
241e3,1010,0
453500.0,1000,400
285e3,990,0
151e3,720,0
157e4,6070,0
631e3,2270,0
285e3,1380,240
195e3,1260,420
817500.0,2910,0
55e4,1810,0
1127e3,3160,0
609850.0,1910,0
2e5,1230,0
367e3,2960,0
285167.0,2200,0
275e3,1270,0
350900.0,2540,0
66e4,3030,0
525e3,1520,0
262e3,1560,0
69e4,970,0
624e3,3570,0
353e3,1350,490
552500.0,3710,1420
224500.0,1430,0
239e3,940,0
975e3,4300,0
12e5,3990,0
505e3,1380,0
302e3,2020,1010
17e4,1480,700
195e3,1190,0
272e3,2550,990
369e3,2550,990
332500.0,1500,0
515e3,3000,1240
269e3,1690,670
1278e3,4390,1960
303e3,1560,0
42e4,2940,1250
4e5,1130,140
225e3,1020,0
219e3,1310,0
605e3,2570,0
625e3,2020,1010
38e4,1680,840
62e4,1770,0
687500.0,3190,0
225500.0,1440,0
252500.0,1150,0
51e4,1860,0
51e4,2430,0
725e3,1940,0
75e3,670,0
492e3,880,0
425e3,1930,600
1955e3,3120,1560
298900.0,1830,0
699e3,3230,0
31e4,700,0
35e4,1010,0
79e4,2460,1050
305e3,2230,0
315e3,1570,0
267500.0,2390,0
175e4,3460,440
435e3,2400,760
482500.0,2940,0
5110800.0,8010,2020
439995.0,1570,0
46e4,1520,340
194e3,1070,0
29e4,440,0
274700.0,2440,1220
9e5,2660,860
115e4,4460,0
605e3,2010,0
359e3,1450,0
85e4,1400,0
505e3,1500,0
565e3,2500,0
585e3,1280,280
328e3,3380,960
749950.0,2910,700
826e3,3060,0
535e3,1330,0
925e3,3300,0
875e3,3250,750
902e3,2530,960
423e3,1830,0
235e3,1170,0
545e3,2930,1250
343e3,1230,0
334950.0,1620,0
405e3,1760,600
22e4,1440,0
173e3,1740,690
655e3,1270,0
406e3,880,0
632e3,2560,1190
357e3,1540,400
361e3,1150,0
277e3,770,0
63e4,4610,2110
254e3,1850,0
472800.0,1840,550
263e3,1490,790
51e4,1490,790
179950.0,960,0
525e3,1580,420
479e3,1260,0
651e3,1940,970
949e3,2490,1250
392400.0,2520,630
585e3,1760,840
46e4,4190,0
47e4,1170,300
245e3,1600,0
5e5,2760,960
455e3,2090,0
485500.0,2320,0
1875e3,4110,960
1e5,770,0
307e3,1410,0
475e3,3660,1000
33e4,2180,990
13e4,1110,0
32e4,2280,0
735e3,2820,770
365e3,1570,770
234e3,1200,0
211e3,1710,0
68e4,3000,600
457e3,2800,0
349e3,1640,0
36e4,2030,820
35e4,2530,0
208e3,990,0
250275.0,790,0
435e3,790,0
27e4,1800,330
438e3,1650,0
659e3,1980,0
645e3,2340,1030
685100.0,2790,0
35e4,2800,1400
375e3,1840,0
17e4,1350,0
88e4,3030,0
410500.0,1980,0
78e4,3690,0
1225e3,3732,800
449e3,1510,0
546e3,2000,890
317e3,1760,700
276900.0,1270,0
399e3,2620,1200
495e3,2630,940
258e3,2270,940
6e5,2410,470
265e3,1120,0
321e3,3030,1490
682e3,2120,400
295700.0,1720,0
609e3,2150,0
995e3,4380,660
53e4,2010,0
614e3,3150,1280
39e4,2500,730
467e3,1690,0
484e3,3300,1240
34e4,1240,0
302495.0,2200,0
532500.0,1620,640
441500.0,2420,640
47e4,2680,1150
23e5,4250,0
59e4,2400,0
32e4,2300,530
363e3,920,120
747500.0,2350,0
75e4,2630,0
831e3,2170,560
403e3,1700,0
445e3,2470,0
345e3,1250,0
226e4,3110,0
371025.0,1530,0
355e3,960,0
27e4,1240,0
425e3,2440,0
364808.0,2320,700
32e4,1580,380
325e3,2963,0
35e4,2470,240
17e4,1370,0
255e3,960,0
55e4,1130,250
835e3,4930,0
42e4,1150,350
925e3,2190,0
389250.0,1490,560
748e3,2600,1300
284e3,1530,330
588e3,1680,700
372500.0,1680,0
285e3,1900,0
36e4,1570,0
275e3,1370,220
428e3,1350,0
847e3,3010,0
316e3,1010,0
375e3,2050,0
533e3,1670,500
556e3,3840,0
225e3,2220,1020
537250.0,2590,950
255e3,1180,0
53e4,2950,0
53e5,7390,2390
595e3,2150,0
548e3,2100,0
234975.0,1650,550
6e5,1620,190
432e3,1750,0
455e3,1380,0
279950.0,1510,300
267500.0,1600,0
62e4,1840,0
11e4,830,0
625e3,1810,370
389e3,910,0
12e5,2120,0
788500.0,2510,0
567e3,2100,500
515e3,2690,820
605e3,2430,840
43e4,2452,0
805e3,1550,0
567500.0,2080,0
647500.0,1290,0
495e3,1850,0
825e3,3370,0
435e3,2730,0
445950.0,1300,0
96e4,3040,0
78e4,2440,960
274500.0,1720,400
729953.0,3230,1230
464950.0,1200,170
62e4,2350,0
735e3,3100,0
45e4,2040,640
45e4,2000,750
842500.0,2160,0
36e4,1970,900
585e3,2270,0
461e3,1850,700
345e3,1350,430
1075e3,3280,1600
643e3,2270,0
69e4,2820,0
282e3,1200,0
549e3,2000,880
815e3,2310,750
22e5,4640,1780
7e5,2330,0
933399.0,3940,830
29e4,1440,0
372e3,1960,620
45e4,1250,460
303700.0,1981,0
672e3,2440,0
334e3,1150,0
26e4,1120,0
749950.0,1800,800
33e4,2380,0
83e4,2920,780
1131e3,2790,0
32e4,1560,650
26e4,1550,0
225e3,1700,730
279200.0,640,0
52e4,2680,640
505e3,1860,0
234e3,1490,480
503e3,2470,0
606e3,2390,650
433500.0,1230,450
25e4,2840,1330
719e3,2120,0
381e3,1770,0
267e3,2495,0
275e3,1170,290
651e3,2740,0
439e3,1050,200
325e3,1130,0
49e4,880,0
519900.0,2403,0
545e3,3410,0
1062500.0,5320,0
542e3,1900,950
465e3,1810,0
408e3,1200,0
292e3,2060,0
253e3,1250,0
28e4,910,0
658588.0,2560,0
635e3,1920,720
439e3,2240,0
3e5,1260,0
345e3,1360,0
283500.0,2100,0
425e3,2110,650
685e3,2210,650
75e4,2360,0
245e3,1280,0
585444.0,2740,1100
706e3,2740,0
445e3,2630,800
241e3,1650,0
1175e3,1770,0
53e4,1500,450
35e4,1430,300
17e5,3190,0
389e3,1280,0
799e3,2390,250
14e5,4040,2020
340895.0,920,0
78e4,2730,0
35e4,1320,0
47e4,2620,0
914600.0,3180,0
354e3,2900,0
47e4,1900,0
715e3,1760,600
265e3,760,0
2537e3,3710,950
64e4,1530,0
29e4,1990,120
48e4,3830,1700
535e3,2040,920
907e3,2170,0
459e3,1620,530
1355e3,3600,1290
264950.0,1470,400
352950.0,1760,0
491500.0,2230,720
1229e3,3770,940
369500.0,1200,0
566e3,2090,0
29e4,1500,290
535e4,8000,1280
18e4,870,0
215e3,1010,0
302e3,1010,0
352500.0,1860,700
235867.0,1330,0
5e5,1760,0
382e3,1800,0
515e3,1690,700
25e4,660,0
672500.0,2400,1150
755e3,3020,0
707500.0,1500,0
459e3,1560,600
14e4,1090,0
495e3,970,0
757e3,3190,0
765e3,3190,0
359e3,1890,0
44e4,1050,0
4e5,1390,250
652e3,1700,850
26e4,1050,0
1328e3,3340,1220
519500.0,1540,0
65e4,1710,150
28e4,2100,0
515e3,1730,0
4e5,1500,0
652100.0,2380,0
235e3,2180,0
701e3,1840,0
64e4,2341,0
455800.0,1690,0
504750.0,2490,0
483e3,2440,0
53e4,920,0
25e4,1030,0
229950.0,2000,740
884744.0,4210,0
514e3,1610,530
532e3,1910,480
423e3,2660,0
42e4,820,0
521e3,1730,0
577e3,2360,0
425e3,970,0
495e3,2460,0
34e4,2690,0
499950.0,1820,390
1218e3,3470,1100
72e4,3370,1260
249e3,1700,690
206135.0,1340,0
3e5,2000,0
612e3,3840,1380
